"coefficient","k","ARI","ARI_batch","NMI","NMI_batch"
"bicor",2,0.29678223348577,0.29678223348577,0.634455584870667,0.634455584870667
"bicor",5,0.418992161203662,0.418992161203662,0.663869666326418,0.663869666326418
"bicor",10,0.448096494441041,0.448096494441041,0.643677448059106,0.643677448059106
"bicor",20,0.532604047841766,0.532604047841766,0.665111242060988,0.665111242060988
"bicor",50,0.42586228614056,0.42586228614056,0.586392289124698,0.586392289124698
"binomial",2,0.450047947869568,0.450047947869568,0.750939013009995,0.750939013009995
"binomial",5,0.58115587926955,0.58115587926955,0.807200441010061,0.807200441010061
"binomial",10,0.720597706158203,0.720597706158203,0.853562377641269,0.853562377641269
"binomial",20,0.723431813603322,0.723431813603322,0.855473426024235,0.855473426024235
"binomial",50,0.577521201840011,0.577521201840011,0.764636956595193,0.764636956595193
"canberra",2,0.347735287541414,0.347735287541414,0.67443488541882,0.67443488541882
"canberra",5,0.472945418902528,0.472945418902528,0.717700352845586,0.717700352845586
"canberra",10,0.450106178863923,0.450106178863923,0.655990718899589,0.655990718899589
"canberra",20,0.543543643767741,0.543543643767741,0.669736503009154,0.669736503009154
"canberra",50,0.338262834333474,0.338262834333474,0.52432648913641,0.52432648913641
"cosine",2,0.189159989982547,0.189159989982547,0.546608833757659,0.546608833757659
"cosine",5,0.37143000823791,0.37143000823791,0.600625803118006,0.600625803118006
"cosine",10,0.431574937689655,0.431574937689655,0.610685362918631,0.610685362918631
"cosine",20,0.337628609574361,0.337628609574361,0.48420547208195,0.48420547208195
"cosine",50,0.337144405037011,0.337144405037011,0.447997220650691,0.447997220650691
"dice",2,0.224760577258455,0.224760577258455,0.589892988483535,0.589892988483535
"dice",5,0.286917307251669,0.286917307251669,0.607767867203716,0.607767867203716
"dice",10,0.410178622700683,0.410178622700683,0.622917061834524,0.622917061834524
"dice",20,0.532128744084429,0.532128744084429,0.664338573564501,0.664338573564501
"dice",50,0.393691901796841,0.393691901796841,0.515620568535386,0.515620568535386
"euclidean",2,0.153213330800602,0.153213330800602,0.484318235075409,0.484318235075409
"euclidean",5,0.284818210035369,0.284818210035369,0.509401281866606,0.509401281866606
"euclidean",10,0.339905405842443,0.339905405842443,0.4719195157276,0.4719195157276
"euclidean",20,0.321817502662025,0.321817502662025,0.415573953499094,0.415573953499094
"euclidean",50,0.234466329993241,0.234466329993241,0.27224164809161,0.27224164809161
"hamming",2,0.187796808382703,0.187796808382703,0.584603246830021,0.584603246830021
"hamming",5,0.349630626690174,0.349630626690174,0.644520518286246,0.644520518286246
"hamming",10,0.416859478700577,0.416859478700577,0.627561958089693,0.627561958089693
"hamming",20,0.509869270087855,0.509869270087855,0.672125702021478,0.672125702021478
"hamming",50,0.427366941170729,0.427366941170729,0.593243980194122,0.593243980194122
"jaccard",2,0.211637241122457,0.211637241122457,0.587379230837322,0.587379230837322
"jaccard",5,0.310134971627386,0.310134971627386,0.619724701086133,0.619724701086133
"jaccard",10,0.410178622700683,0.410178622700683,0.622917061834524,0.622917061834524
"jaccard",20,0.532128744084429,0.532128744084429,0.664338573564501,0.664338573564501
"jaccard",50,0.392992747754833,0.392992747754833,0.517305326435199,0.517305326435199
"kendall",2,0.428134953192029,0.428134953192029,0.745424838420252,0.745424838420252
"kendall",5,0.48505994467603,0.48505994467603,0.778166917796398,0.778166917796398
"kendall",10,0.608550231715487,0.608550231715487,0.8028809890208,0.8028809890208
"kendall",20,0.594384616437389,0.594384616437389,0.788371291761461,0.788371291761461
"kendall",50,0.511855905396375,0.511855905396375,0.709976514779131,0.709976514779131
"manhattan",2,0.250177567825388,0.250177567825388,0.600248783857327,0.600248783857327
"manhattan",5,0.447003050921734,0.447003050921734,0.668067920150691,0.668067920150691
"manhattan",10,0.505643233304902,0.505643233304902,0.675803558796678,0.675803558796678
"manhattan",20,0.523368364241404,0.523368364241404,0.665567802206508,0.665567802206508
"manhattan",50,0.469450226148386,0.469450226148386,0.486141285829755,0.486141285829755
"MI",2,0.171336318717722,0.171336318717722,0.610487318479492,0.610487318479492
"MI",5,0.275375561071159,0.275375561071159,0.588956135924288,0.588956135924288
"MI",10,0.267505220717224,0.267505220717224,0.534614204816674,0.534614204816674
"MI",20,0.361510908974972,0.361510908974972,0.53090662696648,0.53090662696648
"MI",50,0.269754331097214,0.269754331097214,0.424289541896371,0.424289541896371
"pearson",2,0.214664154586118,0.214664154586118,0.569052605198686,0.569052605198686
"pearson",5,0.365227957356995,0.365227957356995,0.606600202277107,0.606600202277107
"pearson",10,0.438765394377985,0.438765394377985,0.617534610307454,0.617534610307454
"pearson",20,0.337953163324641,0.337953163324641,0.496462181143176,0.496462181143176
"pearson",50,0.332100643904321,0.332100643904321,0.44625631263922,0.44625631263922
"phi_s",2,0.35862307274827,0.35862307274827,0.718246336264773,0.718246336264773
"phi_s",5,0.541883222114772,0.541883222114772,0.797292556472894,0.797292556472894
"phi_s",10,0.627384159871841,0.627384159871841,0.796120857272789,0.796120857272789
"phi_s",20,0.665498081124304,0.665498081124304,0.809972642411886,0.809972642411886
"phi_s",50,0.477197185973749,0.477197185973749,0.677493428450159,0.677493428450159
"rho_p",2,0.370107585127009,0.370107585127009,0.721429165725862,0.721429165725862
"rho_p",5,0.598013774491648,0.598013774491648,0.797793206403815,0.797793206403815
"rho_p",10,0.629996550327909,0.629996550327909,0.8006300516226,0.8006300516226
"rho_p",20,0.67636198502782,0.67636198502782,0.822102310705997,0.822102310705997
"rho_p",50,0.523233588661752,0.523233588661752,0.724550150836162,0.724550150836162
"spearman",2,0.310383568040465,0.310383568040465,0.690297293637778,0.690297293637778
"spearman",5,0.485831837864357,0.485831837864357,0.776339226005432,0.776339226005432
"spearman",10,0.539545500528484,0.539545500528484,0.781914284429436,0.781914284429436
"spearman",20,0.59517698194873,0.59517698194873,0.769707432434296,0.769707432434296
"spearman",50,0.458917408918164,0.458917408918164,0.64448586155568,0.64448586155568
"weighted_rank",2,0.3844750372026,0.3844750372026,0.721047536082804,0.721047536082804
"weighted_rank",5,0.51173278319026,0.51173278319026,0.777593465967854,0.777593465967854
"weighted_rank",10,0.61250563471089,0.61250563471089,0.806914022474128,0.806914022474128
"weighted_rank",20,0.656025548002578,0.656025548002578,0.817809153696453,0.817809153696453
"weighted_rank",50,0.533770619980874,0.533770619980874,0.723241136572254,0.723241136572254
"zi_kendall",2,0.194825068010525,0.194825068010525,0.579840342765608,0.579840342765608
"zi_kendall",5,0.383011838558135,0.383011838558135,0.646805698091947,0.646805698091947
"zi_kendall",10,0.470024449642348,0.470024449642348,0.629865187243196,0.629865187243196
"zi_kendall",20,0.465106629338901,0.465106629338901,0.628789790804668,0.628789790804668
"zi_kendall",50,0.505893918885422,0.505893918885422,0.618387454896564,0.618387454896564
